% Usage, time(24h)
 4.0,2022-06-07 11:35:18.859209
 2.0,2022-06-07 11:35:19.359006
 6.0,2022-06-07 11:35:19.859883
 4.0,2022-06-07 11:35:20.359195
 4.0,2022-06-07 11:35:20.860389
 4.0,2022-06-07 11:35:21.359248
 4.0,2022-06-07 11:35:21.859488
 4.0,2022-06-07 11:35:22.359952
 6.0,2022-06-07 11:35:22.860083
 4.0,2022-06-07 11:35:23.359384
 6.0,2022-06-07 11:35:23.860230
 4.0,2022-06-07 11:35:24.359167
 4.0,2022-06-07 11:35:24.859404
 6.0,2022-06-07 11:35:25.359671
 4.0,2022-06-07 11:35:25.858849
 6.0,2022-06-07 11:35:26.359600
 4.0,2022-06-07 11:35:26.859058
 4.0,2022-06-07 11:35:27.359295
 6.0,2022-06-07 11:35:27.859662
 4.0,2022-06-07 11:35:28.358987
 4.0,2022-06-07 11:35:28.859274
 4.0,2022-06-07 11:35:29.358854
 8.0,2022-06-07 11:35:29.859635
 4.0,2022-06-07 11:35:30.359291
 4.0,2022-06-07 11:35:30.859726
 6.0,2022-06-07 11:35:31.359136
 4.0,2022-06-07 11:35:31.859112
 4.0,2022-06-07 11:35:32.359555
 4.0,2022-06-07 11:35:32.859200
 8.0,2022-06-07 11:35:33.359033
 4.0,2022-06-07 11:35:33.859339
 6.0,2022-06-07 11:35:34.360304
 4.0,2022-06-07 11:35:34.859470
 8.0,2022-06-07 11:35:35.360600
 4.0,2022-06-07 11:35:35.860567
 6.0,2022-06-07 11:35:36.360531
 4.0,2022-06-07 11:35:36.860517
 6.0,2022-06-07 11:35:37.359265
 6.0,2022-06-07 11:35:37.859287
 4.0,2022-06-07 11:35:38.360483
 4.0,2022-06-07 11:35:38.859875
 6.0,2022-06-07 11:35:39.359238
 4.0,2022-06-07 11:35:39.860191
 6.0,2022-06-07 11:35:40.360155
 6.0,2022-06-07 11:35:40.859922
 4.0,2022-06-07 11:35:41.359394
 6.0,2022-06-07 11:35:41.859393
 6.0,2022-06-07 11:35:42.359753
 6.0,2022-06-07 11:35:42.859865
 4.0,2022-06-07 11:35:43.358772
 6.0,2022-06-07 11:35:43.859812
 6.0,2022-06-07 11:35:44.360349
 6.0,2022-06-07 11:35:44.860165
 4.0,2022-06-07 11:35:45.359122
 6.0,2022-06-07 11:35:45.860185
 6.0,2022-06-07 11:35:46.360024
 6.0,2022-06-07 11:35:46.860338
 6.0,2022-06-07 11:35:47.359163
 6.0,2022-06-07 11:35:47.859761
 6.0,2022-06-07 11:35:48.359059
 8.0,2022-06-07 11:35:48.860349
 4.0,2022-06-07 11:35:49.360321
 6.0,2022-06-07 11:35:49.859733
 8.0,2022-06-07 11:35:50.360413
 6.0,2022-06-07 11:35:50.860341
 8.0,2022-06-07 11:35:51.360402
 6.0,2022-06-07 11:35:51.861164
 8.0,2022-06-07 11:35:52.360368
 6.0,2022-06-07 11:35:52.860792
