% Usage, time(24h)
 24.0,2022-06-07 11:08:53.858976
 26.0,2022-06-07 11:08:54.358463
 24.0,2022-06-07 11:08:54.858533
 22.0,2022-06-07 11:08:55.358554
 26.0,2022-06-07 11:08:55.858628
 26.0,2022-06-07 11:08:56.358574
 18.0,2022-06-07 11:08:56.858602
 26.0,2022-06-07 11:08:57.358590
 20.0,2022-06-07 11:08:57.858312
 20.0,2022-06-07 11:08:58.358579
 22.0,2022-06-07 11:08:58.858225
 22.0,2022-06-07 11:08:59.358498
 24.0,2022-06-07 11:08:59.858518
 18.0,2022-06-07 11:09:00.358344
 24.0,2022-06-07 11:09:00.858587
 22.0,2022-06-07 11:09:01.358511
 20.0,2022-06-07 11:09:01.858468
 26.0,2022-06-07 11:09:02.358586
 24.0,2022-06-07 11:09:02.858616
 22.0,2022-06-07 11:09:03.358547
 24.0,2022-06-07 11:09:03.858130
 24.0,2022-06-07 11:09:04.358561
 26.0,2022-06-07 11:09:04.858540
 26.0,2022-06-07 11:09:05.358884
 24.0,2022-06-07 11:09:05.858468
 14.0,2022-06-07 11:09:06.358164
 16.0,2022-06-07 11:09:06.858391
 20.0,2022-06-07 11:09:07.358430
 24.0,2022-06-07 11:09:07.858465
 16.0,2022-06-07 11:09:08.358356
 26.0,2022-06-07 11:09:08.858401
 20.0,2022-06-07 11:09:09.358556
 24.0,2022-06-07 11:09:09.858498
 16.0,2022-06-07 11:09:10.358537
 12.0,2022-06-07 11:09:10.858544
 18.0,2022-06-07 11:09:11.358511
 14.0,2022-06-07 11:09:11.858417
 14.0,2022-06-07 11:09:12.358430
 16.0,2022-06-07 11:09:12.858374
 12.0,2022-06-07 11:09:13.358884
 14.0,2022-06-07 11:09:13.858498
 16.0,2022-06-07 11:09:14.358767
 16.0,2022-06-07 11:09:14.858939
 14.0,2022-06-07 11:09:15.358399
 16.0,2022-06-07 11:09:15.858906
 22.0,2022-06-07 11:09:16.358562
 22.0,2022-06-07 11:09:16.858558
 24.0,2022-06-07 11:09:17.358507
 24.0,2022-06-07 11:09:17.858443
 22.0,2022-06-07 11:09:18.358394
 26.0,2022-06-07 11:09:18.858485
 24.0,2022-06-07 11:09:19.358398
 26.0,2022-06-07 11:09:19.858483
 24.0,2022-06-07 11:09:20.358471
 24.0,2022-06-07 11:09:20.858509
 24.0,2022-06-07 11:09:21.358260
 24.0,2022-06-07 11:09:21.858192
 24.0,2022-06-07 11:09:22.358350
 24.0,2022-06-07 11:09:22.858465
 20.0,2022-06-07 11:09:23.358368
 26.0,2022-06-07 11:09:23.858575
 26.0,2022-06-07 11:09:24.358517
 26.0,2022-06-07 11:09:24.858529
 26.0,2022-06-07 11:09:25.358396
 24.0,2022-06-07 11:09:25.858402
 24.0,2022-06-07 11:09:26.358530
 26.0,2022-06-07 11:09:26.858647
 24.0,2022-06-07 11:09:27.358581
 26.0,2022-06-07 11:09:27.858562
 22.0,2022-06-07 11:09:28.358386
 26.0,2022-06-07 11:09:28.858584
 22.0,2022-06-07 11:09:29.358512
 26.0,2022-06-07 11:09:29.858604
 28.0,2022-06-07 11:09:30.358447
 24.0,2022-06-07 11:09:30.858352
 24.0,2022-06-07 11:09:31.358546
 26.0,2022-06-07 11:09:31.858545
 24.0,2022-06-07 11:09:32.358484
 26.0,2022-06-07 11:09:32.858502
 18.0,2022-06-07 11:09:33.358656
 22.0,2022-06-07 11:09:33.858479
 24.0,2022-06-07 11:09:34.358433
 26.0,2022-06-07 11:09:34.858621
 24.0,2022-06-07 11:09:35.358544
 20.0,2022-06-07 11:09:35.858377
 22.0,2022-06-07 11:09:36.358607
 24.0,2022-06-07 11:09:36.858409
 24.0,2022-06-07 11:09:37.358534
 22.0,2022-06-07 11:09:37.858481
 22.0,2022-06-07 11:09:38.358313
 20.0,2022-06-07 11:09:38.858496
 24.0,2022-06-07 11:09:39.358543
 18.0,2022-06-07 11:09:39.858518
 22.0,2022-06-07 11:09:40.358520
 24.0,2022-06-07 11:09:40.858509
 26.0,2022-06-07 11:09:41.358386
 28.0,2022-06-07 11:09:41.858398
 22.0,2022-06-07 11:09:42.358489
 22.0,2022-06-07 11:09:42.858886
 22.0,2022-06-07 11:09:43.358627
 24.0,2022-06-07 11:09:43.858677
 22.0,2022-06-07 11:09:44.358447
 22.0,2022-06-07 11:09:44.858533
 24.0,2022-06-07 11:09:45.358388
 24.0,2022-06-07 11:09:45.858480
 22.0,2022-06-07 11:09:46.358812
 22.0,2022-06-07 11:09:46.858503
 24.0,2022-06-07 11:09:47.358536
 24.0,2022-06-07 11:09:47.858420
 18.0,2022-06-07 11:09:48.358102
 18.0,2022-06-07 11:09:48.858531
 20.0,2022-06-07 11:09:49.358561
 22.0,2022-06-07 11:09:49.858493
 16.0,2022-06-07 11:09:50.358475
 24.0,2022-06-07 11:09:50.858540
 22.0,2022-06-07 11:09:51.358545
 14.0,2022-06-07 11:09:51.858376
 22.0,2022-06-07 11:09:52.358554
 14.0,2022-06-07 11:09:52.858585
